Date,CoinMarketCap
2018-08-17,6580.63
2018-08-16,6334.73
2018-08-15,6308.52
2018-08-14,6199.71
2018-08-13,6297.57
2018-08-12,6322.69
2018-08-11,6295.73
2018-08-10,6184.71
2018-08-09,6568.23
2018-08-08,6305.8
2018-08-07,6753.12
2018-08-06,6951.8
2018-08-05,7068.48
2018-08-04,7032.85
2018-08-03,7434.39
2018-08-02,7567.15
2018-08-01,7624.91
2018-07-31,7780.44
2018-07-30,8180.48
2018-07-29,8218.46
2018-07-28,8192.15
2018-07-27,8165.01
2018-07-26,7951.58
2018-07-25,8181.39
2018-07-24,8424.27
2018-07-23,7711.11
2018-07-22,7418.49
2018-07-21,7419.29
2018-07-20,7354.13
2018-07-19,7466.86
2018-07-18,7370.78
2018-07-17,7321.04
2018-07-16,6741.75
2018-07-15,6359.64
2018-07-14,6276.12
2018-07-13,6238.05
2018-07-12,6228.81
2018-07-11,6394.71
2018-07-10,6329.95
2018-07-09,6741.75
2018-07-08,6773.88
2018-07-07,6856.93
2018-07-06,6673.5
2018-07-05,6639.14
2018-07-04,6597.55
2018-07-03,6529.59
2018-07-02,6614.18
2018-07-01,6385.82
2018-06-30,6404
2018-06-29,6218.3
2018-06-28,5903.44
2018-06-27,6157.13
2018-06-26,6093.67
2018-06-25,6249.18
2018-06-24,6173.23
2018-06-23,6162.48
2018-06-22,6083.69
2018-06-21,6729.74
2018-06-20,6776.55
2018-06-19,6769.94
2018-06-18,6734.82
2018-06-17,6499.27
2018-06-16,6550.16
2018-06-15,6456.58
2018-06-14,6675.35
2018-06-13,6349.9
2018-06-12,6582.36
2018-06-11,6906.92
2018-06-10,6786.02
2018-06-09,7531.98
2018-06-08,7624.92
2018-06-07,7678.24
2018-06-06,7653.98
2018-06-05,7633.76
2018-06-04,7514.47
2018-06-03,7720.25
2018-06-02,7643.45
2018-06-01,7541.45
2018-05-31,7494.17
2018-05-30,7406.52
2018-05-29,7472.59
2018-05-28,7135.99
2018-05-27,7368.22
2018-05-26,7355.88
2018-05-25,7480.14
2018-05-24,7587.34
2018-05-23,7557.82
2018-05-22,8041.78
2018-05-21,8418.99
